id,role,type,description,size/ratio,style_line_ref,source
bg_sky,canvas background drawn each frame; vertical gradient whose hue follows tower height,procedural-2d,calm vertical gradient sky shifting hue with height,viewport (responsive),STYLE FORMULA block1+3+4 (calm gradient sky),generate(procedural-code)
block_body,hero block; rounded rectangle with single soft top-light highlight and long soft shadow; hue cycles the pastel-to-vivid spectrum by height,procedural-2d,clean rounded rectangle block,~220x24 px (responsive width),STYLE FORMULA block1+2+3 (smooth block spectrum),generate(procedural-code)
slice_piece,sliced overhang that breaks off and falls with gravity when a drop is imperfect,procedural-2d,falling rounded rectangle sliver,variable,STYLE FORMULA block1+2 (same block look),generate(procedural-code)
fx_perfect,gold spark particles + ring flash on a perfect-aligned stack,procedural-2d,bright warm gold spark burst,small,STYLE FORMULA block3 signal hue (warm gold),generate(procedural-code)
fx_coin,small coin pop awarded per block / per perfect,procedural-2d,warm gold coin token,16-24 px,STYLE FORMULA block3 signal hue (warm gold),generate(procedural-code)
ui_buttons,canvas-drawn menu/HUD: play, daily, revive, double-coins, pause, sound, leaderboard, theme chips,procedural-2d,flat rounded UI chips and icons,various,STYLE FORMULA block1+2 (flat vector minimalism),generate(procedural-code)
sfx_drop,short soft thud when a block locks,procedural-audio,WebAudio synth low sine/triangle blip,~120ms,STYLE FORMULA mood (soft satisfying),generate(procedural-code)
sfx_slice,quick swish when overhang is cut,procedural-audio,WebAudio synth filtered noise swish,~90ms,STYLE FORMULA mood,generate(procedural-code)
sfx_perfect,rising chime on a perfect stack; pitch climbs with the perfect-combo streak,procedural-audio,WebAudio synth bright triangle arpeggio,~180ms,STYLE FORMULA signal mood,generate(procedural-code)
sfx_coin,light ping on coin/reward,procedural-audio,WebAudio synth short sine ping,~80ms,STYLE FORMULA mood,generate(procedural-code)
sfx_over,soft descending tone on game over,procedural-audio,WebAudio synth descending sine,~400ms,STYLE FORMULA mood,generate(procedural-code)
card_thumbnail,deploy/Yandex cover (OG image + catalog cover),image,bold flat-vector neon tower-stack cover with readable title,16:9,STYLE FORMULA whole,generate(image)
card_favicon,deploy/Yandex icon (favicon + catalog icon),image,square flat-vector single stacked-block mark,1:1,STYLE FORMULA whole,generate(image)
